FID,START_X,START_Y,END_X,END_Y
1,557.0404663,285.006410001,600.6968994,325.48761
2,418.5308838,229.04681,312.961914,93.3154300004
3,597.125,378.90722,533.6248169,295.960200001
4,340.5723877,320.70019,367.5598755,286.304380001
5,47.0361938,181.425410001,53.7556152,306.85541
6,644.3532104,519.00439,586.4093017,490.03241
7,366.9730835,338.132990001,426.9185141723,600
8,270.6622924,524.702640001,269.1347046,147.78143
9,490.5203857,268.77844,564.4343872,145.58844
10,432.2849731,510.678830001,642.8280029,374.04999
11,347.171875,374.04999,640.5881958,253.099610001
12,587.9967651,394.78222,549.1029663,362.635190001
13,344.9320678,481.56122,409.8867798,503.959410001
14,415.355896,585.679380001,391.9401855,561.47003
15,378.5294189,309.095210001,512.918518,116.470640001
16,402.2589111,283.41882,366.1433105,226.66559
17,655.8626098,502.335630001,602.6812133,476.53863
18,533.6248169,448.75738,453.8527832,326.91638
19,386.0808105,33.3621800002,440.585083,275.191830001
20,567.7561035,214.759400001,573.7092895,162.37182
