FID,START_X,START_Y,END_X,END_Y
1,557.0404663,285.006410001,600.6968994,325.48761
2,418.5308838,229.04681,312.961914,93.3154300004
3,597.125,378.90722,533.6248169,295.960200001
4,340.5723877,320.70019,367.5598755,286.304380001
5,47.0361938,181.425410001,53.7556152,306.85541
6,644.3532104,519.00439,586.4093017,490.03241
7,366.9730835,338.132990001,426.9185141723,600
8,270.6622924,524.702640001,269.1347046,147.78143
9,490.5203857,268.77844,564.4343872,145.58844
10,432.2849731,510.678830001,642.8280029,374.04999
11,347.171875,374.04999,640.5881958,253.099610001
12,587.9967651,394.78222,549.1029663,362.635190001
13,344.9320678,481.56122,409.8867798,503.959410001
14,415.355896,585.679380001,391.9401855,561.47003
15,378.5294189,309.095210001,512.918518,116.470640001
16,402.2589111,283.41882,366.1433105,226.66559
17,655.8626098,502.335630001,602.6812133,476.53863
18,533.6248169,448.75738,453.8527832,326.91638
19,386.0808105,33.3621800002,440.585083,275.191830001
20,567.7561035,214.759400001,573.7092895,162.37182
21,44.7963867,528.597410001,365.0905151,342.692380001
22,403.0526733,592.029420001,382.0183105,561.86682
23,417.3402099,578.535580001,397.8933105,554.326230001
24,382.4152832,424.151000001,447.8997192,371.76343
25,22.3981933,450.203790001,311.3347778,291.176630001
26,337.5681762,253.256220001,374.4776001,211.18744
27,312.5264892,272.01678,417.3016967,140.7832
28,574.8999023,215.553040001,579.6624145,173.88104
29,565.3748779,283.022030001,607.0468139,323.503230001
30,269.611206,152.05243,356.9240112,310.14123
31,511.7966919,461.85419,489.5715942,395.17901
32,471.7122192,253.653200001,554.6593017,129.034240001
33,508.6217041,221.10943,441.152771,159.59363
34,537.4227905,297.94598,623.3187866,376.68463
35,533.6248169,254.84381,420.9121093,159.196590001
36,258.3590698,515.574580001,271.9851684,490.9682
37,565.3748779,425.34161,483.6184692,315.40698
38,627.2874756,527.3388,574.8999023,498.763610001
39,492.9725952,312.762820001,576.5811157,419.6546
40,386.7808838,264.765620001,509.8123169,101.25281
