FID,START_X,START_Y,END_X,END_Y
1,347.171875,374.04999,640.5881958,253.099610001
2,29.5026855,300.724610001,96.3599853,514.82739
3,565.3748779,425.34161,483.6184692,315.40698
4,386.0808105,33.3621800002,440.585083,275.191830001
5,505.6726684,309.05859,576.0520019,405.367190001
6,508.6217041,221.10943,441.152771,159.59363
7,418.5308838,229.04681,312.961914,93.3154300004
8,198.237915,222.724420001,175.1561889,597.603030001
9,312.5264892,272.01678,417.3016967,140.7832
10,574.8999023,215.553040001,579.6624145,173.88104
11,151.2785034,261.724610001,154.4623059774,600
12,534.4185791,407.482240001,467.3466186,315.803830001
13,355.8302002,348.479800001,337.5810733205,600
14,340.5723877,320.70019,367.5598755,286.304380001
15,344.9320678,481.56122,409.8867798,503.959410001
16,417.3402099,578.535580001,397.8933105,554.326230001
17,565.3748779,283.022030001,607.0468139,323.503230001
18,473.2996826,278.65643,561.0092163,144.909240001
19,362.5714111,174.6748,322.883789,120.69983
20,459.6350708,40.2413900001,461.751709,204.812620001
21,22.3981933,450.203790001,311.3347778,291.176630001
22,269.611206,152.05243,356.9240112,310.14123
23,26.8778076,506.199220001,199.343811,400.92779
24,371.8098755,468.12219,510.6787109,383.009210001
25,0,333.73321,441.2443847,0
26,527.528634971,600,700,473.015615092
27,432.2849731,510.678830001,642.8280029,374.04999
28,511.7966919,461.85419,489.5715942,395.17901
29,382.4152832,424.151000001,447.8997192,371.76343
30,597.125,378.90722,533.6248169,295.960200001
31,337.5681762,253.256220001,374.4776001,211.18744
32,587.9967651,394.78222,549.1029663,362.635190001
33,461.4027099,253.099610001,530.8370971,134.38922
34,644.3532104,519.00439,586.4093017,490.03241
35,258.3590698,515.574580001,271.9851684,490.9682
36,366.9730835,338.132990001,426.9185141723,600
37,589.9812011,393.59161,527.6716919,313.8194
38,47.0361938,181.425410001,53.7556152,306.85541
39,533.6248169,254.84381,420.9121093,159.196590001
