FID,START_X,START_Y,END_X,END_Y
1,269.611206,152.05243,356.9240112,310.14123
2,249.5117187,514.990780001,272.218872,470.97082
3,258.3590698,515.574580001,271.9851684,490.9682
4,270.6622924,524.702640001,269.1347046,147.78143
5,355.8302002,348.479800001,337.5810733205,600
6,366.9730835,338.132990001,426.9185141723,600
7,198.237915,222.724420001,175.1561889,597.603030001
8,151.2785034,261.724610001,154.4623059774,600
9,29.5026855,300.724610001,96.3599853,514.82739
10,386.0808105,33.3621800002,440.585083,275.191830001
11,459.6350708,40.2413900001,461.751709,204.812620001
12,297.180603,237.62103,468.1018066,40.2413900001
13,312.5264892,272.01678,417.3016967,140.7832
14,330.5181884,298.47522,439.5266723,156.6582
15,340.5723877,320.70019,367.5598755,286.304380001
16,492.9725952,312.762820001,576.5811157,419.6546
17,505.6726684,309.05859,576.0520019,405.367190001
18,537.4227905,297.94598,623.3187866,376.68463
19,322.5338745,380.76941,521.8778076,593.552180001
20,344.9320678,481.56122,409.8867798,503.959410001
