FID,START_X,START_Y,END_X,END_Y
1,402.2589111,283.41882,366.1433105,226.66559
2,198.237915,222.724420001,175.1561889,597.603030001
3,534.4185791,407.482240001,467.3466186,315.803830001
4,0,333.73321,441.2443847,0
5,461.4027099,253.099610001,530.8370971,134.38922
6,587.9967651,394.78222,549.1029663,362.635190001
7,490.5203857,268.77844,564.4343872,145.58844
8,403.0526733,592.029420001,382.0183105,561.86682
9,508.6217041,221.10943,441.152771,159.59363
10,382.4152832,424.151000001,447.8997192,371.76343
11,357.8088989,216.3468,295.102478,114.74658
12,378.5294189,309.095210001,512.918518,116.470640001
13,26.8778076,506.199220001,199.343811,400.92779
14,344.9320678,481.56122,409.8867798,503.959410001
15,432.2849731,510.678830001,642.8280029,374.04999
16,371.8098755,468.12219,510.6787109,383.009210001
17,386.0808105,33.3621800002,440.585083,275.191830001
18,565.3748779,283.022030001,607.0468139,323.503230001
19,527.528634971,600,700,473.015615092
20,565.3748779,425.34161,483.6184692,315.40698
21,567.7561035,214.759400001,573.7092895,162.37182
22,495.1278686,505.113580001,468.1403198,481.30121
23,597.125,378.90722,533.6248169,295.960200001
24,249.5117187,514.990780001,272.218872,470.97082
25,655.8626098,502.335630001,602.6812133,476.53863
26,627.2874756,527.3388,574.8999023,498.763610001
27,574.8999023,215.553040001,579.6624145,173.88104
28,29.5026855,300.724610001,96.3599853,514.82739
29,270.6622924,524.702640001,269.1347046,147.78143
30,386.7808838,264.765620001,509.8123169,101.25281
31,418.5308838,229.04681,312.961914,93.3154300004
32,340.5723877,320.70019,367.5598755,286.304380001
33,473.2996826,278.65643,561.0092163,144.909240001
34,13.4389038,342.692380001,347.171875,595.791990001
35,537.4227905,297.94598,623.3187866,376.68463
36,417.3402099,578.535580001,397.8933105,554.326230001
37,355.8302002,348.479800001,337.5810733205,600
38,22.3981933,450.203790001,311.3347778,291.176630001
39,492.9725952,312.762820001,576.5811157,419.6546
40,471.7122192,253.653200001,554.6593017,129.034240001
