FID,START_X,START_Y,END_X,END_Y
1,402.2589111,283.41882,366.1433105,226.66559
2,198.237915,222.724420001,175.1561889,597.603030001
3,534.4185791,407.482240001,467.3466186,315.803830001
4,0,333.73321,441.2443847,0
5,461.4027099,253.099610001,530.8370971,134.38922
6,587.9967651,394.78222,549.1029663,362.635190001
7,490.5203857,268.77844,564.4343872,145.58844
8,403.0526733,592.029420001,382.0183105,561.86682
9,508.6217041,221.10943,441.152771,159.59363
10,382.4152832,424.151000001,447.8997192,371.76343
11,357.8088989,216.3468,295.102478,114.74658
12,378.5294189,309.095210001,512.918518,116.470640001
13,26.8778076,506.199220001,199.343811,400.92779
14,344.9320678,481.56122,409.8867798,503.959410001
15,432.2849731,510.678830001,642.8280029,374.04999
16,371.8098755,468.12219,510.6787109,383.009210001
17,386.0808105,33.3621800002,440.585083,275.191830001
18,565.3748779,283.022030001,607.0468139,323.503230001
19,527.528634971,600,700,473.015615092
20,565.3748779,425.34161,483.6184692,315.40698
